x,y,user
25493.7606040585,124244.909477595,P2
34982.4920585181,133501.575273857,P2
29706.1544653138,132374.70010252,P2
37874.0708938178,146357.55050866,P2
42262.4811250589,151035.789856333,P2
45187.1957111845,163142.960692884,P2
39728.2884379424,159606.547685898,P2
35960.873559226,161374.754189391,P2
36856.7848834355,164950.667816634,P2
36911.2881170363,165284.346537516,P2
37928.251076923,165491.770939447,P2
40989.8467730061,163489.698614155,P2
42459.7726776781,162567.571400853,P2
40825.1371703633,163374.657672216,P2
40824.5833695139,163580.32854194,P2
40644.2750429447,163567.730797395,P2
43947.1894591788,162516.811258,P2
49697.5344294478,161163.545849538,P2
59738.3130306748,161462.29236302,P2
59077.1671165644,165497.169972823,P2
57671.0206097215,165930.384719282,P2
65077.2301198678,171407.26569637,P2
65821.0769608305,171460.702283119,P2
71069.5860613496,174880.689980635,P2
68388.0823482774,180116.367988002,P2
68029.4962982538,182165.231935888,P2
68029.3578480415,185682.909835603,P2
67931.9811986786,184533.238745567,P2
68316.4112883435,183337.283634365,P2
68881.2420047192,183423.575877215,P2
70462.7587805568,182903.930451153,P2
69317.7755243039,183172.820771521,P2
71391.7597055214,183426.759922539,P2
78738.9894252005,184426.180989731,P2
84191.3433883907,183808.706924716,P2
91311.8378102878,185345.354885631,P2
87621.0320490797,185370.411937966,P2
87156.6700368098,185271.429659403,P2
91454.1184785276,186274.450082179,P2
90667.5828220858,186374.03225334,P2
93038.5888588957,187900.159021008,P2
91640.7955148655,187157.4458399,P2
89537.5521887682,186913.566426283,P2
91762.9086021708,187389.050528063,P2
90905.4864369986,187282.454228071,P2
90801.92567815,187149.970255225,P2
90177.6536705993,186873.142894338,P2
89810.4375573383,186708.080138897,P2
87168.0691042944,183580.332427462,P2
82714.3103728173,181048.601084291,P2
77437.972779613,178180.19155725,P2
76823.2538367154,170736.447335775,P2
78672.2564228409,173672.78316307,P2
76463.97553563,174411.343241582,P2
84469.628315243,178980.679010043,P2
84728.5302123643,178653.276088641,P2
91556.7100858895,184543.067755046,P2
