x,y,user
28467.2367267579,24366.0278677788,P7
28633.1798168947,22250.9302997557,P7
28218.3220915526,22499.7653077584,P7
28550.2082718263,23660.9953451044,P7
85717.6028239735,25651.6754091262,P7
85136.8020084945,24490.4453717802,P7
32532.8424351109,22831.5453184287,P7
32947.700160453,23121.8528277652,P7
27098.2062331288,22914.4903210963,P7
27347.1208683341,23287.7428331004,P7
28633.1798168947,23495.1053397693,P7
27844.9501387446,20509.0852437366,P7
26724.8342803208,23785.4128491058,P7
39784.0034129306,59347.1494086498,P7
39597.3174365266,58351.8093766389,P7
39846.2320717319,59036.1056486464,P7
39099.488166116,59658.1931686532,P7
39535.0887777253,59098.314400647,P7
37481.5430372817,59347.1494086498,P7
37606.0003548843,60777.9507046654,P7
37917.1436488909,59969.2369286566,P7
40779.6619537517,60653.5332006641,P7
41401.9485417649,58538.4356326409,P7
42273.1497649834,60653.5332006641,P7
42459.8357413874,61337.8294726716,P7
41775.3204945729,60404.6981926614,P7
41650.8631769702,58102.9743686361,P7
39597.3174365266,58476.2268806402,P7
57332.4851949032,36640.9549284012,P7
55465.6254308636,27185.2246242976,P7
42536.8604511562,52927.0276512931,P7
39419.4806757904,62142.0388967743,P7
37594.106684285,59570.7438140795,P7
36155.7843964134,63697.3388562851,P7
36006.281362907,63646.9388106329,P7
35520.1022067012,62742.4568319355,P7
35474.3541972628,61588.2065110566,P7
35753.1450835299,61768.5429062888,P7
34769.177249646,61719.3602530437,P7
34522.5764001887,58242.7310169665,P7
34109.301791411,51445.1770336748,P7
30449.7045927324,28242.7734083092,P7
31694.2777687588,29611.3659523242,P7
28209.4728758848,34277.0223523753,P7
33391.7846531382,22471.765282396,P7
29328.1679886739,23052.0962428408,P7
25656.392970269,17993.3438345505,P7
25324.6691609249,18297.326718593,P7
26177.1977272298,22416.5768266094,P7
27173.3839735724,23731.8475831952,P7
28325.1215705521,25548.6028519953,P7
28796.1190448324,26627.5371626242,P7
30165.4742803209,26410.3949369519,P7
26077.3801982067,23061.3484251344,P7
25142.9354978763,22438.3681506957,P7
25159.3349617744,22270.246259281,P7
26085.9046720151,23089.9571467003,P7
27934.2541500707,19591.5365865367,P7
27749.9631448796,20144.2327393412,P7
26146.6313997168,19849.4614578455,P7
24260.36830958,17208.2880509855,P7
24317.3875677206,16939.7989188999,P7
22236.6311656441,14313.1395348486,P7
20248.0202661632,12718.1796360322,P7
20520.4380934403,15062.0252373417,P7
18791.5530268994,15329.425479552,P7
21660.5255762152,12583.0490788488,P7
34039.9288117036,17950.8974192911,P7
48408.5788994808,14972.5874751698,P7
28007.564624823,15672.6692687221,P7
52105.2778555922,32597.3860483569,P8
32627.7076507786,68305.2096967479,P8
36797.0277904672,62022.1257446791,P8
36672.5704728645,61524.4557286736,P8
43828.8662350165,27309.642128299,P8
35490.2259556394,64137.2233127022,P8
37045.9424256724,61151.2032166695,P8
57021.3419008966,24074.7870242636,P8
56772.4272656913,23514.9082562574,P8
42522.0644001887,17791.7030721948,P8
56772.4272656913,19595.7568802145,P9
58017.0004417177,52441.9779365742,P9
18999.6313732892,20155.6356482206,P9
34619.0247324209,64448.2670727056,P9
35614.683273242,64012.8058087009,P9
21986.6069957527,17294.0330561893,P9
20119.747231713,18164.9555841989,P9
18750.716738084,16485.3192801805,P9
19373.0033260972,16485.3192801805,P9
20865.8822463426,16204.3451126314,P9
21717.4771798018,18174.410665227,P9
18986.1951788579,14184.4882105871,P9
20145.198874941,17168.5198990216,P9
22637.9173874469,17061.9574836571,P9
22848.918410571,16398.0322445944,P9
23239.0957546012,15309.6834326842,P9
42399.9208683341,19389.6523456995,P9
25236.2987824445,25561.4666317632,P9
23669.8252383199,22411.0985607776,P9
22428.9460009438,14340.557917172,P9
28326.176981595,17963.761199059,P9
27920.7367701746,18424.3413263961,P9
45197.3690231241,20539.1954159378,P9
40166.2245814063,23183.1282455871,P9
27098.2062331288,19989.7456428855,P9
27388.6066408683,17708.7580695272,P9
36983.7137668711,65568.0246087179,P9
36859.2564492685,58662.8531366423,P9
36174.7412024539,64386.0583207049,P9
37305.5735422368,63293.0022581542,P9
37198.3681359131,59264.9348414264,P9
36238.9994978763,61609.3079794456,P9
37698.5517848041,62748.7061129584,P9
37083.5718886267,62486.3986289842,P9
37254.7514412458,62368.0680870182,P9
50786.5823501651,49701.8711067673,P9
52291.9638319962,25318.9620642772,P9
27276.042993865,19533.5481282138,P9
22173.2929721566,17294.0330561893,P9
27276.042993865,19160.2956162097,P9
27587.1862878716,13934.7604481525,P9
18750.716738084,27185.2246242976,P9
18501.8021028787,27371.8508802997,P9
18626.2594204813,16049.8580161757,P9
20119.747231713,13810.3429441512,P9
16697.1709976403,19969.0093922186,P9
23604.552124587,21586.4369442363,P9
29329.5887343086,21026.5581762302,P9
29765.1893459178,13312.6729281457,P9
31507.5917923548,67558.7046727397,P9
36236.9698612553,64137.2233127022,P9
36983.7137668711,62146.5432486804,P9
40344.0613421425,61462.2469766729,P9
